survey_name,user_id,question,response,question_type,q_order
housing-survey,00dd6983-b5ea-4102-b0d6-3b4805bc67a2,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,00dd6983-b5ea-4102-b0d6-3b4805bc67a2,"In the next five years, what is the likelihood of you becoming a homeowner?",Very likely,single_select,1
housing-survey,00dd6983-b5ea-4102-b0d6-3b4805bc67a2,Rent control is a necessary and effective way to keep housing prices down.,Somewhat disagree,single_select,4
housing-survey,0251deac-73f4-4558-8ae9-1557f7860dc7,Where do you currently live?,Suburbs,single_select,2
housing-survey,029e3638-6fde-4a70-a550-12467a2233d9,Where do you currently live?,Suburbs,single_select,2
housing-survey,029e3638-6fde-4a70-a550-12467a2233d9,When was the last time you moved?,1-2 years ago,single_select,2
housing-survey,029e3638-6fde-4a70-a550-12467a2233d9,"In your area, how do you expect housing prices to change in the next year?",Increase a lot,single_select,1
housing-survey,029e3638-6fde-4a70-a550-12467a2233d9,"In the next five years, what is the likelihood of you becoming a homeowner?",Very likely,single_select,1
housing-survey,029e3638-6fde-4a70-a550-12467a2233d9,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,03f4580f-cbca-4b28-88b4-e884d43d1027,Where do you currently live?,City,single_select,1
housing-survey,03f4580f-cbca-4b28-88b4-e884d43d1027,When was the last time you moved?,Less than 1 year ago,single_select,1
housing-survey,03f4580f-cbca-4b28-88b4-e884d43d1027,"In your area, how do you expect housing prices to change in the next year?",No change,single_select,3
housing-survey,03f4580f-cbca-4b28-88b4-e884d43d1027,"In the next five years, what is the likelihood of you becoming a homeowner?",Very unlikely,single_select,5
housing-survey,03f4580f-cbca-4b28-88b4-e884d43d1027,Rent control is a necessary and effective way to keep housing prices down.,Neither agree nor disagree,single_select,3
housing-survey,063a2034-22b3-47b1-8ad5-42e1dc31f095,Where do you currently live?,Suburbs,single_select,2
housing-survey,063a2034-22b3-47b1-8ad5-42e1dc31f095,When was the last time you moved?,More than 5 years ago,single_select,6
housing-survey,063a2034-22b3-47b1-8ad5-42e1dc31f095,"In your area, how do you expect housing prices to change in the next year?",No change,single_select,3
housing-survey,063a2034-22b3-47b1-8ad5-42e1dc31f095,"In the next five years, what is the likelihood of you becoming a homeowner?",Somewhat unlikely,single_select,4
housing-survey,063a2034-22b3-47b1-8ad5-42e1dc31f095,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,06913c1a-5e80-4c1c-aee4-a6bf0af5c380,Where do you currently live?,Suburbs,single_select,2
housing-survey,06913c1a-5e80-4c1c-aee4-a6bf0af5c380,When was the last time you moved?,3-4 years go,single_select,4
housing-survey,06913c1a-5e80-4c1c-aee4-a6bf0af5c380,"In your area, how do you expect housing prices to change in the next year?",Increase a lot,single_select,1
housing-survey,06913c1a-5e80-4c1c-aee4-a6bf0af5c380,"In the next five years, what is the likelihood of you becoming a homeowner?",Very likely,single_select,1
housing-survey,06913c1a-5e80-4c1c-aee4-a6bf0af5c380,Rent control is a necessary and effective way to keep housing prices down.,Strongly agree,single_select,1
housing-survey,07320b5c-34d4-4658-919b-ca1425fc7466,Where do you currently live?,Rural area,single_select,3
housing-survey,07320b5c-34d4-4658-919b-ca1425fc7466,When was the last time you moved?,1-2 years ago,single_select,2
housing-survey,07320b5c-34d4-4658-919b-ca1425fc7466,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,07320b5c-34d4-4658-919b-ca1425fc7466,"In the next five years, what is the likelihood of you becoming a homeowner?",Very likely,single_select,1
housing-survey,07320b5c-34d4-4658-919b-ca1425fc7466,Rent control is a necessary and effective way to keep housing prices down.,Strongly agree,single_select,1
housing-survey,07618670-fef8-4021-bbd5-33d59510781f,Where do you currently live?,Rural area,single_select,3
housing-survey,07618670-fef8-4021-bbd5-33d59510781f,When was the last time you moved?,More than 5 years ago,single_select,6
housing-survey,07618670-fef8-4021-bbd5-33d59510781f,"In your area, how do you expect housing prices to change in the next year?",Decrease somewhat,single_select,4
housing-survey,07618670-fef8-4021-bbd5-33d59510781f,"In the next five years, what is the likelihood of you becoming a homeowner?",Neither likely nor unlikely,single_select,3
housing-survey,07618670-fef8-4021-bbd5-33d59510781f,Rent control is a necessary and effective way to keep housing prices down.,Neither agree nor disagree,single_select,3
housing-survey,0810bc62-e377-4854-8654-5f70fed62040,Where do you currently live?,Suburbs,single_select,2
housing-survey,0810bc62-e377-4854-8654-5f70fed62040,When was the last time you moved?,Less than 1 year ago,single_select,1
housing-survey,0810bc62-e377-4854-8654-5f70fed62040,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,0810bc62-e377-4854-8654-5f70fed62040,"In the next five years, what is the likelihood of you becoming a homeowner?",Very unlikely,single_select,5
housing-survey,0810bc62-e377-4854-8654-5f70fed62040,Rent control is a necessary and effective way to keep housing prices down.,Strongly disagree,single_select,5
housing-survey,08caa01f-231e-4581-bf8a-ed4275d76bd6,Where do you currently live?,City,single_select,1
housing-survey,08caa01f-231e-4581-bf8a-ed4275d76bd6,When was the last time you moved?,More than 5 years ago,single_select,6
housing-survey,08caa01f-231e-4581-bf8a-ed4275d76bd6,"In your area, how do you expect housing prices to change in the next year?",Increase a lot,single_select,1
housing-survey,08caa01f-231e-4581-bf8a-ed4275d76bd6,"In the next five years, what is the likelihood of you becoming a homeowner?",Neither likely nor unlikely,single_select,3
housing-survey,08caa01f-231e-4581-bf8a-ed4275d76bd6,Rent control is a necessary and effective way to keep housing prices down.,Strongly agree,single_select,1
housing-survey,091be136-572d-4400-9583-0176f346a117,Where do you currently live?,Rural area,single_select,3
housing-survey,091be136-572d-4400-9583-0176f346a117,When was the last time you moved?,Less than 1 year ago,single_select,1
housing-survey,091be136-572d-4400-9583-0176f346a117,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,091be136-572d-4400-9583-0176f346a117,"In the next five years, what is the likelihood of you becoming a homeowner?",Very unlikely,single_select,5
housing-survey,091be136-572d-4400-9583-0176f346a117,Rent control is a necessary and effective way to keep housing prices down.,Neither agree nor disagree,single_select,3
housing-survey,0964cde1-bcd7-4841-b3c6-72a9336f6de5,Where do you currently live?,City,single_select,1
housing-survey,0964cde1-bcd7-4841-b3c6-72a9336f6de5,When was the last time you moved?,Less than 1 year ago,single_select,1
housing-survey,0964cde1-bcd7-4841-b3c6-72a9336f6de5,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,0964cde1-bcd7-4841-b3c6-72a9336f6de5,"In the next five years, what is the likelihood of you becoming a homeowner?",Somewhat likely,single_select,2
housing-survey,0964cde1-bcd7-4841-b3c6-72a9336f6de5,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,0a3bcef7-4284-4379-96c2-c8de2af8a1c6,Where do you currently live?,City,single_select,1
housing-survey,0a3bcef7-4284-4379-96c2-c8de2af8a1c6,When was the last time you moved?,Less than 1 year ago,single_select,1
housing-survey,0a3bcef7-4284-4379-96c2-c8de2af8a1c6,"In your area, how do you expect housing prices to change in the next year?",Increase a lot,single_select,1
housing-survey,0a3bcef7-4284-4379-96c2-c8de2af8a1c6,"In the next five years, what is the likelihood of you becoming a homeowner?",Somewhat likely,single_select,2
housing-survey,0a3bcef7-4284-4379-96c2-c8de2af8a1c6,Rent control is a necessary and effective way to keep housing prices down.,Strongly agree,single_select,1
housing-survey,0ab92525-33ee-4602-aedd-46e26452eebe,Where do you currently live?,Rural area,single_select,3
housing-survey,0ab92525-33ee-4602-aedd-46e26452eebe,When was the last time you moved?,4-5 years ago,single_select,5
housing-survey,0ab92525-33ee-4602-aedd-46e26452eebe,"In your area, how do you expect housing prices to change in the next year?",No change,single_select,3
housing-survey,0ab92525-33ee-4602-aedd-46e26452eebe,"In the next five years, what is the likelihood of you becoming a homeowner?",Very likely,single_select,1
housing-survey,0ab92525-33ee-4602-aedd-46e26452eebe,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,0b507e0d-b411-48e7-8e80-27d5f2967d32,Where do you currently live?,Suburbs,single_select,2
housing-survey,0b507e0d-b411-48e7-8e80-27d5f2967d32,When was the last time you moved?,1-2 years ago,single_select,2
housing-survey,0b507e0d-b411-48e7-8e80-27d5f2967d32,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,0b507e0d-b411-48e7-8e80-27d5f2967d32,"In the next five years, what is the likelihood of you becoming a homeowner?",Very likely,single_select,1
housing-survey,0b507e0d-b411-48e7-8e80-27d5f2967d32,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,0c1d6449-0984-490b-ba46-62a240f3cbf7,Where do you currently live?,City,single_select,1
housing-survey,0c1d6449-0984-490b-ba46-62a240f3cbf7,When was the last time you moved?,Less than 1 year ago,single_select,1
housing-survey,0c1d6449-0984-490b-ba46-62a240f3cbf7,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,0c1d6449-0984-490b-ba46-62a240f3cbf7,"In the next five years, what is the likelihood of you becoming a homeowner?",Neither likely nor unlikely,single_select,3
housing-survey,0c1d6449-0984-490b-ba46-62a240f3cbf7,Rent control is a necessary and effective way to keep housing prices down.,Strongly disagree,single_select,5
housing-survey,0c4f4ef8-fa1b-4646-8212-4caa459ee50a,Where do you currently live?,Suburbs,single_select,2
housing-survey,0c4f4ef8-fa1b-4646-8212-4caa459ee50a,When was the last time you moved?,Less than 1 year ago,single_select,1
housing-survey,0c4f4ef8-fa1b-4646-8212-4caa459ee50a,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,0c4f4ef8-fa1b-4646-8212-4caa459ee50a,"In the next five years, what is the likelihood of you becoming a homeowner?",Very likely,single_select,1
housing-survey,0c4f4ef8-fa1b-4646-8212-4caa459ee50a,Rent control is a necessary and effective way to keep housing prices down.,Strongly disagree,single_select,5
housing-survey,0c5faf12-358f-440d-89a9-59afcbb95f56,Where do you currently live?,City,single_select,1
housing-survey,0c5faf12-358f-440d-89a9-59afcbb95f56,When was the last time you moved?,1-2 years ago,single_select,2
housing-survey,0cb3b3f6-38db-4262-b370-7ebc9ba473b7,Where do you currently live?,Suburbs,single_select,2
housing-survey,0cb3b3f6-38db-4262-b370-7ebc9ba473b7,When was the last time you moved?,1-2 years ago,single_select,2
housing-survey,0cb3b3f6-38db-4262-b370-7ebc9ba473b7,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,0cb3b3f6-38db-4262-b370-7ebc9ba473b7,"In the next five years, what is the likelihood of you becoming a homeowner?",Very unlikely,single_select,5
housing-survey,0cb3b3f6-38db-4262-b370-7ebc9ba473b7,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,0cc5a87f-f3de-41c1-a0ea-2a9d75111cae,Where do you currently live?,Suburbs,single_select,2
housing-survey,0cc5a87f-f3de-41c1-a0ea-2a9d75111cae,When was the last time you moved?,Less than 1 year ago,single_select,1
housing-survey,0cc5a87f-f3de-41c1-a0ea-2a9d75111cae,"In your area, how do you expect housing prices to change in the next year?",Prefer not to answer,single_select,6
housing-survey,0cc5a87f-f3de-41c1-a0ea-2a9d75111cae,"In the next five years, what is the likelihood of you becoming a homeowner?",Prefer not to answer,single_select,6
housing-survey,0cc5a87f-f3de-41c1-a0ea-2a9d75111cae,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,0cd3a047-1ec6-4683-a859-9db23c992085,Where do you currently live?,City,single_select,1
housing-survey,0cd3a047-1ec6-4683-a859-9db23c992085,When was the last time you moved?,2-3 years ago,single_select,3
housing-survey,0cd3a047-1ec6-4683-a859-9db23c992085,"In your area, how do you expect housing prices to change in the next year?",No change,single_select,3
housing-survey,0cd3a047-1ec6-4683-a859-9db23c992085,"In the next five years, what is the likelihood of you becoming a homeowner?",Somewhat unlikely,single_select,4
housing-survey,0cd3a047-1ec6-4683-a859-9db23c992085,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,0d45287c-0e38-458e-8fdb-bfb738fb920e,Where do you currently live?,City,single_select,1
housing-survey,0d45287c-0e38-458e-8fdb-bfb738fb920e,When was the last time you moved?,Less than 1 year ago,single_select,1
housing-survey,0d45287c-0e38-458e-8fdb-bfb738fb920e,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,0d45287c-0e38-458e-8fdb-bfb738fb920e,"In the next five years, what is the likelihood of you becoming a homeowner?",Neither likely nor unlikely,single_select,3
housing-survey,0d45287c-0e38-458e-8fdb-bfb738fb920e,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,0d5aef1d-0517-4da7-aa61-1b9ae67fbe63,Where do you currently live?,Suburbs,single_select,2
housing-survey,0d5aef1d-0517-4da7-aa61-1b9ae67fbe63,When was the last time you moved?,Less than 1 year ago,single_select,1
housing-survey,0d5aef1d-0517-4da7-aa61-1b9ae67fbe63,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,0d5aef1d-0517-4da7-aa61-1b9ae67fbe63,"In the next five years, what is the likelihood of you becoming a homeowner?",Somewhat likely,single_select,2
housing-survey,0d5aef1d-0517-4da7-aa61-1b9ae67fbe63,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,0d6cf402-2da3-4115-b09a-569f345d6f53,Where do you currently live?,Suburbs,single_select,2
housing-survey,0d6cf402-2da3-4115-b09a-569f345d6f53,When was the last time you moved?,3-4 years go,single_select,4
housing-survey,0d8b446d-6ab8-4df5-9bb3-0775dd37d5b3,Where do you currently live?,Suburbs,single_select,2
housing-survey,0d8b446d-6ab8-4df5-9bb3-0775dd37d5b3,When was the last time you moved?,3-4 years go,single_select,4
housing-survey,0d8b446d-6ab8-4df5-9bb3-0775dd37d5b3,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,0d8b446d-6ab8-4df5-9bb3-0775dd37d5b3,"In the next five years, what is the likelihood of you becoming a homeowner?",Somewhat likely,single_select,2
housing-survey,0d8b446d-6ab8-4df5-9bb3-0775dd37d5b3,Rent control is a necessary and effective way to keep housing prices down.,Strongly agree,single_select,1
housing-survey,0e12f64b-3fe6-4450-aec9-67960a8787b0,Where do you currently live?,Suburbs,single_select,2
housing-survey,0e12f64b-3fe6-4450-aec9-67960a8787b0,When was the last time you moved?,4-5 years ago,single_select,5
housing-survey,0e12f64b-3fe6-4450-aec9-67960a8787b0,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,0e12f64b-3fe6-4450-aec9-67960a8787b0,"In the next five years, what is the likelihood of you becoming a homeowner?",Very likely,single_select,1
housing-survey,0e12f64b-3fe6-4450-aec9-67960a8787b0,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,0e23dbf8-b437-48c8-8afa-b3e0792258ac,Where do you currently live?,Rural area,single_select,3
housing-survey,0e23dbf8-b437-48c8-8afa-b3e0792258ac,When was the last time you moved?,More than 5 years ago,single_select,6
housing-survey,0e23dbf8-b437-48c8-8afa-b3e0792258ac,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,0e23dbf8-b437-48c8-8afa-b3e0792258ac,"In the next five years, what is the likelihood of you becoming a homeowner?",Somewhat likely,single_select,2
housing-survey,0e23dbf8-b437-48c8-8afa-b3e0792258ac,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,0e7fa573-b24d-4731-831f-ca50a3ad0192,Where do you currently live?,City,single_select,1
housing-survey,0e7fa573-b24d-4731-831f-ca50a3ad0192,When was the last time you moved?,1-2 years ago,single_select,2
housing-survey,0ec5e68d-eefd-4f06-ba60-549d8585b63e,Where do you currently live?,City,single_select,1
housing-survey,0ec5e68d-eefd-4f06-ba60-549d8585b63e,When was the last time you moved?,Less than 1 year ago,single_select,1
housing-survey,0ec5e68d-eefd-4f06-ba60-549d8585b63e,"In your area, how do you expect housing prices to change in the next year?",Increase a lot,single_select,1
housing-survey,0ec5e68d-eefd-4f06-ba60-549d8585b63e,"In the next five years, what is the likelihood of you becoming a homeowner?",Very likely,single_select,1
housing-survey,0ec5e68d-eefd-4f06-ba60-549d8585b63e,Rent control is a necessary and effective way to keep housing prices down.,Strongly disagree,single_select,5
housing-survey,0f1097fd-7d82-4087-86bb-02a4b06b5ce3,Where do you currently live?,Suburbs,single_select,2
housing-survey,0f1097fd-7d82-4087-86bb-02a4b06b5ce3,When was the last time you moved?,Does not apply,single_select,7
housing-survey,0f1097fd-7d82-4087-86bb-02a4b06b5ce3,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,0f1097fd-7d82-4087-86bb-02a4b06b5ce3,"In the next five years, what is the likelihood of you becoming a homeowner?",Somewhat likely,single_select,2
housing-survey,0f1097fd-7d82-4087-86bb-02a4b06b5ce3,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,118dd7a2-e186-4e20-8b67-28a3eda2112f,Where do you currently live?,Rural area,single_select,3
housing-survey,118dd7a2-e186-4e20-8b67-28a3eda2112f,When was the last time you moved?,Does not apply,single_select,7
housing-survey,118dd7a2-e186-4e20-8b67-28a3eda2112f,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,118dd7a2-e186-4e20-8b67-28a3eda2112f,"In the next five years, what is the likelihood of you becoming a homeowner?",Somewhat unlikely,single_select,4
housing-survey,118dd7a2-e186-4e20-8b67-28a3eda2112f,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,11f77b7f-0e18-4ed0-8cad-67279cb4c86b,Where do you currently live?,City,single_select,1
housing-survey,11f77b7f-0e18-4ed0-8cad-67279cb4c86b,When was the last time you moved?,Less than 1 year ago,single_select,1
housing-survey,11f77b7f-0e18-4ed0-8cad-67279cb4c86b,"In your area, how do you expect housing prices to change in the next year?",Decrease a lot,single_select,5
housing-survey,11f77b7f-0e18-4ed0-8cad-67279cb4c86b,"In the next five years, what is the likelihood of you becoming a homeowner?",Neither likely nor unlikely,single_select,3
housing-survey,11f77b7f-0e18-4ed0-8cad-67279cb4c86b,Rent control is a necessary and effective way to keep housing prices down.,Neither agree nor disagree,single_select,3
housing-survey,127badf3-2ed0-47e5-aba1-e1d3a2181fed,Where do you currently live?,City,single_select,1
housing-survey,127badf3-2ed0-47e5-aba1-e1d3a2181fed,When was the last time you moved?,2-3 years ago,single_select,3
housing-survey,127badf3-2ed0-47e5-aba1-e1d3a2181fed,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,127badf3-2ed0-47e5-aba1-e1d3a2181fed,"In the next five years, what is the likelihood of you becoming a homeowner?",Very unlikely,single_select,5
housing-survey,127badf3-2ed0-47e5-aba1-e1d3a2181fed,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,130e2eaa-d35a-4b76-bd4f-d96ee12b4b57,Where do you currently live?,Suburbs,single_select,2
housing-survey,130e2eaa-d35a-4b76-bd4f-d96ee12b4b57,When was the last time you moved?,1-2 years ago,single_select,2
housing-survey,130e2eaa-d35a-4b76-bd4f-d96ee12b4b57,"In your area, how do you expect housing prices to change in the next year?",Increase a lot,single_select,1
housing-survey,130e2eaa-d35a-4b76-bd4f-d96ee12b4b57,"In the next five years, what is the likelihood of you becoming a homeowner?",Somewhat likely,single_select,2
housing-survey,130e2eaa-d35a-4b76-bd4f-d96ee12b4b57,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,14bec97c-bf02-474f-b75e-929771eef568,Where do you currently live?,City,single_select,1
housing-survey,14bec97c-bf02-474f-b75e-929771eef568,When was the last time you moved?,Does not apply,single_select,7
housing-survey,14bec97c-bf02-474f-b75e-929771eef568,"In your area, how do you expect housing prices to change in the next year?",Prefer not to answer,single_select,6
housing-survey,14bec97c-bf02-474f-b75e-929771eef568,"In the next five years, what is the likelihood of you becoming a homeowner?",Very likely,single_select,1
housing-survey,14bec97c-bf02-474f-b75e-929771eef568,Rent control is a necessary and effective way to keep housing prices down.,Somewhat disagree,single_select,4
housing-survey,15185246-7249-4876-99a6-99fa3dd3a4b8,Where do you currently live?,Rural area,single_select,3
housing-survey,15185246-7249-4876-99a6-99fa3dd3a4b8,When was the last time you moved?,1-2 years ago,single_select,2
housing-survey,15185246-7249-4876-99a6-99fa3dd3a4b8,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,15185246-7249-4876-99a6-99fa3dd3a4b8,"In the next five years, what is the likelihood of you becoming a homeowner?",Somewhat likely,single_select,2
housing-survey,15185246-7249-4876-99a6-99fa3dd3a4b8,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,1615032a-8845-4644-9845-8e20f5ecaf51,Where do you currently live?,City,single_select,1
housing-survey,1615032a-8845-4644-9845-8e20f5ecaf51,When was the last time you moved?,Less than 1 year ago,single_select,1
housing-survey,1615032a-8845-4644-9845-8e20f5ecaf51,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,1615032a-8845-4644-9845-8e20f5ecaf51,"In the next five years, what is the likelihood of you becoming a homeowner?",Somewhat likely,single_select,2
housing-survey,1615032a-8845-4644-9845-8e20f5ecaf51,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,161cd196-44a1-4bf1-b11a-61bbdf15ef21,Where do you currently live?,Suburbs,single_select,2
housing-survey,161cd196-44a1-4bf1-b11a-61bbdf15ef21,When was the last time you moved?,3-4 years go,single_select,4
housing-survey,161cd196-44a1-4bf1-b11a-61bbdf15ef21,"In your area, how do you expect housing prices to change in the next year?",Decrease somewhat,single_select,4
housing-survey,161cd196-44a1-4bf1-b11a-61bbdf15ef21,"In the next five years, what is the likelihood of you becoming a homeowner?",Neither likely nor unlikely,single_select,3
housing-survey,161cd196-44a1-4bf1-b11a-61bbdf15ef21,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,1660752d-60ee-44d0-b4af-fff9bf261c17,Where do you currently live?,City,single_select,1
housing-survey,1660752d-60ee-44d0-b4af-fff9bf261c17,When was the last time you moved?,1-2 years ago,single_select,2
housing-survey,1660752d-60ee-44d0-b4af-fff9bf261c17,"In your area, how do you expect housing prices to change in the next year?",No change,single_select,3
housing-survey,1660752d-60ee-44d0-b4af-fff9bf261c17,"In the next five years, what is the likelihood of you becoming a homeowner?",Very likely,single_select,1
housing-survey,1660752d-60ee-44d0-b4af-fff9bf261c17,Rent control is a necessary and effective way to keep housing prices down.,Strongly agree,single_select,1
housing-survey,1674c2d6-25ec-4e53-b253-ae6e94400391,Where do you currently live?,City,single_select,1
housing-survey,1674c2d6-25ec-4e53-b253-ae6e94400391,When was the last time you moved?,More than 5 years ago,single_select,6
housing-survey,1674c2d6-25ec-4e53-b253-ae6e94400391,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,1674c2d6-25ec-4e53-b253-ae6e94400391,"In the next five years, what is the likelihood of you becoming a homeowner?",Very likely,single_select,1
housing-survey,1674c2d6-25ec-4e53-b253-ae6e94400391,Rent control is a necessary and effective way to keep housing prices down.,Neither agree nor disagree,single_select,3
housing-survey,174549fb-ef4f-4386-8185-3d720f5c1b6e,Where do you currently live?,Suburbs,single_select,2
housing-survey,174549fb-ef4f-4386-8185-3d720f5c1b6e,When was the last time you moved?,More than 5 years ago,single_select,6
housing-survey,174549fb-ef4f-4386-8185-3d720f5c1b6e,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,174549fb-ef4f-4386-8185-3d720f5c1b6e,"In the next five years, what is the likelihood of you becoming a homeowner?",Neither likely nor unlikely,single_select,3
housing-survey,174549fb-ef4f-4386-8185-3d720f5c1b6e,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,17d580b0-0e90-4cf5-9149-a27c4bb8a836,Where do you currently live?,Rural area,single_select,3
housing-survey,17d580b0-0e90-4cf5-9149-a27c4bb8a836,When was the last time you moved?,1-2 years ago,single_select,2
housing-survey,17d580b0-0e90-4cf5-9149-a27c4bb8a836,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,17d580b0-0e90-4cf5-9149-a27c4bb8a836,"In the next five years, what is the likelihood of you becoming a homeowner?",Very likely,single_select,1
housing-survey,17d580b0-0e90-4cf5-9149-a27c4bb8a836,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,17d711a6-6ca4-439c-904c-687bb3eced89,Where do you currently live?,City,single_select,1
housing-survey,17d711a6-6ca4-439c-904c-687bb3eced89,When was the last time you moved?,Less than 1 year ago,single_select,1
housing-survey,17d711a6-6ca4-439c-904c-687bb3eced89,"In your area, how do you expect housing prices to change in the next year?",No change,single_select,3
housing-survey,17d711a6-6ca4-439c-904c-687bb3eced89,"In the next five years, what is the likelihood of you becoming a homeowner?",Very unlikely,single_select,5
housing-survey,17d711a6-6ca4-439c-904c-687bb3eced89,Rent control is a necessary and effective way to keep housing prices down.,Somewhat agree,single_select,2
housing-survey,180a807b-7a60-4e4b-b30a-1095b7a9906b,Where do you currently live?,City,single_select,1
